,url:,text:
302,https://ybop.yale.edu/,Yale Baroque Opera Project
303,https://www.yalechildrenstheater.org/,Yale Children's Theater Project
304,http://www.dramat.org/,Yale Dramatic Association
305,/extracurriculars,Extracurriculars
306,/identity-culture-faith,"Identity, Culture, Faith"
307,http://studentorgs.yalecollege.yale.edu/directory,Student Organizations Complete List
308,https://collegearts.yale.edu/,Yale College Arts
309,http://artscalendar.yale.edu/,Yale Arts Calendar
310,http://www.yalebulldogs.com/landing/index,Yale Athletics
311,https://chaplain.yale.edu/,Yale Chaplain's Office
312,https://yalecollege.yale.edu/campus-life/cultural-affairs-centers,Cultural Centers
